,FlightName,FlightCode,DepartingCity,DepartingTime,ArrivingCity,ArrivingTime,Duration,YatraPrice
52,Akasa Air,QP 1138,Bengaluru,15:45:00,Mumbai,17:20,01 h 35 m,7089
53,Akasa Air,QP 1138,Bengaluru,15:45:00,Mumbai,17:20,01 h 35 m,4355
19,Vistara,UK 849,Mumbai,17:30:00,Bengaluru,19:15,01 h 45 m,4653
54,IndiGo,6E 5351,Bengaluru,15:00:00,Mumbai,16:40,01 h 40 m,4386
55,IndiGo,6E 5251,Bengaluru,16:30:00,Mumbai,18:15,01 h 45 m,6001
56,IndiGo,6E 939,Bengaluru,22:45:00,Mumbai,"00:35
+ 1 DAY",01 h 50 m,6557
20,IndiGo,6E 5125,Mumbai,23:15:00,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,3545
21,IndiGo,6E 5125,Mumbai,23:15:00,Bengaluru,"00:50
+ 1 DAY",01 h 35 m,7447
57,IndiGo,6E 5209,Bengaluru,06:00:00,Mumbai,07:35,01 h 35 m,5654
58,IndiGo,6E 5293,Bengaluru,12:15:00,Mumbai,14:05,01 h 50 m,5099
59,IndiGo,6E 5293,Bengaluru,12:15:00,Mumbai,14:05,01 h 50 m,5142
60,Akasa Air,QP 1104,Bengaluru,11:45:00,Mumbai,13:30,01 h 45 m,7199
22,Akasa Air,QP 1110,Mumbai,09:25:00,Bengaluru,11:05,01 h 40 m,3020
61,IndiGo,6E 6347,Bengaluru,21:45:00,Mumbai,23:40,01 h 55 m,5782
62,IndiGo,6E 6347,Bengaluru,21:45:00,Mumbai,23:40,01 h 55 m,5859
63,AirAsia,I5 472,Bengaluru,02:00:00,Mumbai,04:00,02 h,3838
23,Vistara,UK 845,Mumbai,05:55:00,Bengaluru,07:45,01 h 50 m,7739
346,Akasa Air,QP 1406,New Delhi,12:45:00,Hyderabad,15:05,02 h 20 m,5567
24,IndiGo,6E 6293,Mumbai,07:45:00,Bengaluru,09:30,01 h 45 m,6918
25,Vistara,UK 853,Mumbai,16:00:00,Bengaluru,17:45,01 h 45 m,6427
64,Air India,AI 604,Bengaluru,09:20:00,Mumbai,11:35,02 h 15 m,3659
65,Air India,AI 604,Bengaluru,09:20:00,Mumbai,11:35,02 h 15 m,6346
66,Akasa Air,QP 1109,Bengaluru,06:55:00,Mumbai,08:35,01 h 40 m,5998
236,IndiGo,6E 2111,Mumbai,02:30:00,New Delhi,04:40,02 h 10 m,4041
237,IndiGo,6E 2056,Mumbai,05:00:00,New Delhi,07:15,02 h 15 m,4127
238,IndiGo,6E 5187,Mumbai,06:05:00,New Delhi,08:10,02 h 05 m,4097
239,IndiGo,6E 2398,Mumbai,07:00:00,New Delhi,09:10,02 h 10 m,4685
240,Air India,AI 864,Mumbai,07:00:00,New Delhi,09:15,02 h 15 m,3326
241,Air India,AI 864,Mumbai,07:00:00,New Delhi,09:15,02 h 15 m,3652
242,Air India,AI 864,Mumbai,07:00:00,New Delhi,09:15,02 h 15 m,3118
243,IndiGo,6E 825,Mumbai,07:45:00,New Delhi,09:55,02 h 10 m,3895
244,IndiGo,6E 825,Mumbai,07:45:00,New Delhi,09:55,02 h 10 m,4193
245,Akasa Air,QP 1410,Mumbai,07:55:00,New Delhi,10:10,02 h 15 m,6967
246,IndiGo,6E 2139,Mumbai,08:30:00,New Delhi,10:40,02 h 10 m,7910
247,Air India,AI 866,Mumbai,09:00:00,New Delhi,11:20,02 h 20 m,6520
248,SpiceJet,SG 158,Mumbai,09:05:00,New Delhi,11:20,02 h 15 m,6067
249,IndiGo,6E 5008,Mumbai,09:30:00,New Delhi,11:40,02 h 10 m,7959
250,IndiGo,6E 5008,Mumbai,09:30:00,New Delhi,11:40,02 h 10 m,5223
251,Air India,AI 809,Mumbai,10:00:00,New Delhi,12:20,02 h 20 m,6533
252,Air India,AI 623,Mumbai,10:25:00,New Delhi,12:40,02 h 15 m,3926
253,Air India,AI 623,Mumbai,10:25:00,New Delhi,12:40,02 h 15 m,5890
254,IndiGo,6E 6821,Mumbai,10:30:00,New Delhi,12:50,02 h 20 m,5839
255,IndiGo,6E 5113,Mumbai,11:45:00,New Delhi,14:05,02 h 20 m,6933
256,IndiGo,6E 5113,Mumbai,11:45:00,New Delhi,14:05,02 h 20 m,4876
257,IndiGo,6E 2015,Mumbai,12:45:00,New Delhi,14:55,02 h 10 m,6543
258,Akasa Air,QP 1127,Mumbai,13:05:00,New Delhi,15:10,02 h 05 m,6605
259,IndiGo,6E 993,Mumbai,14:30:00,New Delhi,16:35,02 h 05 m,6929
260,Air India,AI 442,Mumbai,15:35:00,New Delhi,18:10,02 h 35 m,3849
261,IndiGo,6E 2326,Mumbai,15:45:00,New Delhi,17:55,02 h 10 m,6492
262,IndiGo,6E 2326,Mumbai,15:45:00,New Delhi,17:55,02 h 10 m,5930
263,Air India,AI 687,Mumbai,16:00:00,New Delhi,18:20,02 h 20 m,3371
264,IndiGo,6E 2103,Mumbai,17:15:00,New Delhi,19:25,02 h 10 m,7870
265,SpiceJet,SG 710,Mumbai,22:30:00,New Delhi,"01:00
+ 1 DAY",02 h 30 m,3273
266,IndiGo,6E 2083,Mumbai,22:50:00,New Delhi,"01:00
+ 1 DAY",02 h 10 m,3877
267,IndiGo,6E 2126,Mumbai,23:55:00,New Delhi,"02:00
+ 1 DAY",02 h 05 m,4693
268,IndiGo,6E 2126,Mumbai,23:55:00,New Delhi,"02:00
+ 1 DAY",02 h 05 m,6725
347,IndiGo,6E 2461,New Delhi,01:55:00,Hyderabad,04:10,02 h 15 m,4556
348,IndiGo,6E 2337,New Delhi,05:40:00,Hyderabad,07:55,02 h 15 m,7651
349,IndiGo,6E 6203,New Delhi,06:30:00,Hyderabad,08:40,02 h 10 m,7369
350,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,7016
351,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,4293
352,Air India,AI 560,New Delhi,07:10:00,Hyderabad,09:20,02 h 10 m,6579
353,IndiGo,6E 774,New Delhi,08:10:00,Hyderabad,10:20,02 h 10 m,5927
354,IndiGo,6E 774,New Delhi,08:10:00,Hyderabad,10:20,02 h 10 m,5772
355,Air India,AI 542,New Delhi,09:30:00,Hyderabad,12:00,02 h 30 m,5256
356,IndiGo,6E 2005,New Delhi,10:10:00,Hyderabad,12:15,02 h 05 m,4999
357,Air India,AI 522,New Delhi,11:05:00,Hyderabad,13:25,02 h 20 m,5353
358,IndiGo,6E 837,New Delhi,13:30:00,Hyderabad,15:45,02 h 15 m,3313
359,IndiGo,6E 2187,New Delhi,15:05:00,Hyderabad,17:20,02 h 15 m,6508
360,IndiGo,6E 2187,New Delhi,15:05:00,Hyderabad,17:20,02 h 15 m,7944
361,Air India,AI 544,New Delhi,17:00:00,Hyderabad,19:10,02 h 10 m,4464
362,IndiGo,6E 5312,New Delhi,17:15:00,Hyderabad,19:25,02 h 10 m,4738
363,IndiGo,6E 5312,New Delhi,17:15:00,Hyderabad,19:25,02 h 10 m,5314
364,IndiGo,6E 2341,New Delhi,18:45:00,Hyderabad,21:00,02 h 15 m,6288
365,IndiGo,6E 605,New Delhi,19:45:00,Hyderabad,22:00,02 h 15 m,6527
366,IndiGo,6E 605,New Delhi,19:45:00,Hyderabad,22:00,02 h 15 m,3566
367,IndiGo,6E 2371,New Delhi,21:25:00,Hyderabad,23:40,02 h 15 m,6588
368,Air India,AI 839,New Delhi,21:30:00,Hyderabad,23:45,02 h 15 m,3754
186,Akasa Air,QP 1719,New Delhi,09:00:00,Mumbai,10:55,01 h 55 m,6002
187,Akasa Air,QP 1411,New Delhi,10:55:00,Mumbai,13:05,02 h 10 m,6890
188,Akasa Air,QP 1128,New Delhi,16:00:00,Mumbai,18:10,02 h 10 m,4964
189,IndiGo,6E 2009,New Delhi,01:00:00,Mumbai,03:00,02 h,4930
190,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,7998
191,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,3138
192,IndiGo,6E 2112,New Delhi,05:30:00,Mumbai,07:35,02 h 05 m,5695
193,IndiGo,6E 5218,New Delhi,06:30:00,Mumbai,08:50,02 h 20 m,3584
194,IndiGo,6E 5218,New Delhi,06:30:00,Mumbai,08:50,02 h 20 m,5372
195,IndiGo,6E 6814,New Delhi,07:15:00,Mumbai,09:20,02 h 05 m,4466
196,IndiGo,6E 2075,New Delhi,08:00:00,Mumbai,10:15,02 h 15 m,6220
197,Air India,AI 665,New Delhi,08:00:00,Mumbai,10:20,02 h 20 m,4534
198,IndiGo,6E 5112,New Delhi,09:00:00,Mumbai,10:55,01 h 55 m,4942
199,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,4255
200,IndiGo,6E 2328,New Delhi,10:00:00,Mumbai,12:15,02 h 15 m,6084
201,Air India,AI 865,New Delhi,10:00:00,Mumbai,12:30,02 h 30 m,3579
202,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,4414
203,IndiGo,6E 824,New Delhi,11:00:00,Mumbai,13:00,02 h,6994
204,SpiceJet,SG 157,New Delhi,12:10:00,Mumbai,14:35,02 h 25 m,3281
205,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,3028
206,IndiGo,6E 6092,New Delhi,12:55:00,Mumbai,15:05,02 h 10 m,5505
207,Air India,AI 620,New Delhi,13:30:00,Mumbai,15:40,02 h 10 m,7316
208,Air India,AI 863,New Delhi,14:00:00,Mumbai,16:20,02 h 20 m,4011
209,IndiGo,6E 2176,New Delhi,14:20:00,Mumbai,16:30,02 h 10 m,6974
210,IndiGo,6E 2016,New Delhi,15:45:00,Mumbai,18:00,02 h 15 m,4903
211,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,7162
212,IndiGo,6E 5197,New Delhi,16:30:00,Mumbai,18:40,02 h 10 m,3570
213,Air India,AI 441,New Delhi,17:15:00,Mumbai,19:30,02 h 15 m,6059
214,IndiGo,6E 864,New Delhi,17:30:00,Mumbai,19:40,02 h 10 m,4397
215,IndiGo,6E 2017,New Delhi,18:30:00,Mumbai,20:35,02 h 05 m,7395
216,SpiceJet,SG 8709,New Delhi,18:55:00,Mumbai,21:25,02 h 30 m,7954
217,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,5062
218,IndiGo,6E 2084,New Delhi,19:45:00,Mumbai,22:00,02 h 15 m,5541
219,Air India,AI 805,New Delhi,20:00:00,Mumbai,22:10,02 h 10 m,6513
220,IndiGo,6E 6424,New Delhi,20:15:00,Mumbai,22:45,02 h 30 m,7244
221,IndiGo,6E 6083,New Delhi,21:00:00,Mumbai,23:05,02 h 05 m,6088
222,IndiGo,6E 2114,New Delhi,22:00:00,Mumbai,"00:05
+ 1 DAY",02 h 05 m,4106
223,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,4999
224,Air India,AI 814,New Delhi,22:30:00,Mumbai,"00:45
+ 1 DAY",02 h 15 m,3886
225,IndiGo,6E 2519,New Delhi,23:15:00,Mumbai,"01:20
+ 1 DAY",02 h 05 m,5293
369,Vistara,UK 879,New Delhi,17:35:00,Hyderabad,19:50,02 h 15 m,3623
226,Vistara,UK 951,New Delhi,14:20:00,Mumbai,16:25,02 h 05 m,7894
67,AirAsia,I5 2991,Bengaluru,21:25:00,Mumbai,23:10,01 h 45 m,6587
68,IndiGo,6E 488,Bengaluru,10:15:00,Mumbai,11:55,01 h 40 m,7755
69,IndiGo,6E 5134,Bengaluru,13:45:00,Mumbai,15:20,01 h 35 m,4104
370,Vistara,UK 859,New Delhi,10:25:00,Hyderabad,12:35,02 h 10 m,3408
371,Vistara,UK 899,New Delhi,14:45:00,Hyderabad,17:00,02 h 15 m,4793
372,Vistara,UK 899,New Delhi,14:45:00,Hyderabad,17:00,02 h 15 m,6626
227,Vistara,UK 995,New Delhi,10:20:00,Mumbai,12:35,02 h 15 m,7903
376,Akasa Air,QP 1407,Hyderabad,19:25:00,New Delhi,21:45,02 h 20 m,7061
373,SpiceJet,SG 8164,New Delhi,23:00:00,Hyderabad,"01:00
+ 1 DAY",02 h,3391
377,IndiGo,6E 379,Hyderabad,05:05:00,New Delhi,07:25,02 h 20 m,6245
378,IndiGo,6E 491,Hyderabad,09:30:00,New Delhi,11:50,02 h 20 m,3739
379,IndiGo,6E 2171,Hyderabad,11:55:00,New Delhi,14:05,02 h 10 m,7693
380,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,6517
381,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,4159
382,IndiGo,6E 2063,Hyderabad,14:25:00,New Delhi,16:45,02 h 20 m,5146
383,IndiGo,6E 2003,Hyderabad,18:15:00,New Delhi,20:30,02 h 15 m,3678
384,IndiGo,6E 2003,Hyderabad,18:15:00,New Delhi,20:30,02 h 15 m,7040
385,IndiGo,6E 5605,Hyderabad,21:55:00,New Delhi,"00:05
+ 1 DAY",02 h 10 m,3002
386,IndiGo,6E 6146,Hyderabad,22:45:00,New Delhi,"01:00
+ 1 DAY",02 h 15 m,4788
228,Vistara,UK 963,New Delhi,09:00:00,Mumbai,11:15,02 h 15 m,6849
229,Vistara,UK 993,New Delhi,12:50:00,Mumbai,15:00,02 h 10 m,3830
230,Vistara,UK 993,New Delhi,12:50:00,Mumbai,15:00,02 h 10 m,4566
26,Akasa Air,QP 1625,Mumbai,13:35:00,Bengaluru,15:10,01 h 35 m,7216
27,Akasa Air,QP 1625,Mumbai,13:35:00,Bengaluru,15:10,01 h 35 m,4773
231,SpiceJet,SG 8192,New Delhi,18:20:00,Mumbai,20:45,02 h 25 m,3583
387,Air India,AI 543,Hyderabad,10:05:00,New Delhi,12:30,02 h 25 m,3388
70,Akasa Air,QP 1136,Bengaluru,06:25:00,Mumbai,07:55,01 h 30 m,6449
71,Akasa Air,QP 1136,Bengaluru,06:25:00,Mumbai,07:55,01 h 30 m,6997
269,IndiGo,6E 6082,Mumbai,18:00:00,New Delhi,20:00,02 h,5871
388,IndiGo,6E 2011,Hyderabad,06:45:00,New Delhi,09:00,02 h 15 m,5997
389,IndiGo,6E 2342,Hyderabad,08:40:00,New Delhi,10:45,02 h 05 m,5935
390,IndiGo,6E 2342,Hyderabad,08:40:00,New Delhi,10:45,02 h 05 m,3112
391,IndiGo,6E 6606,Hyderabad,16:30:00,New Delhi,18:50,02 h 20 m,6126
91,Akasa Air,QP 1409,New Delhi,23:00:00,Bengaluru,"01:45
+ 1 DAY",02 h 45 m,5966
92,AirAsia,I5 740,New Delhi,07:50:00,Bengaluru,10:40,02 h 50 m,6515
93,AirAsia,I5 1534,New Delhi,22:55:00,Bengaluru,"01:35
+ 1 DAY",02 h 40 m,4063
94,IndiGo,6E 2067,New Delhi,03:55:00,Bengaluru,06:45,02 h 50 m,3612
95,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,4696
96,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,4580
97,IndiGo,6E 6612,New Delhi,05:50:00,Bengaluru,08:35,02 h 45 m,4793
98,IndiGo,6E 2403,New Delhi,07:05:00,Bengaluru,09:50,02 h 45 m,3723
99,IndiGo,6E 2403,New Delhi,07:05:00,Bengaluru,09:50,02 h 45 m,3018
100,IndiGo,6E 308,New Delhi,08:00:00,Bengaluru,11:00,03 h,3232
101,IndiGo,6E 2131,New Delhi,21:45:00,Bengaluru,"00:35
+ 1 DAY",02 h 50 m,3117
102,IndiGo,6E 6565,New Delhi,22:55:00,Bengaluru,"01:40
+ 1 DAY",02 h 45 m,3110
72,IndiGo,6E 5207,Bengaluru,07:05:00,Mumbai,08:55,01 h 50 m,4683
103,Air India,AI 514,New Delhi,03:30:00,Bengaluru,06:25,02 h 55 m,5310
104,Air India,AI 803,New Delhi,06:10:00,Bengaluru,09:00,02 h 50 m,6697
105,Air India,AI 803,New Delhi,06:10:00,Bengaluru,09:00,02 h 50 m,3343
106,Air India,AI 504,New Delhi,21:10:00,Bengaluru,"00:05
+ 1 DAY",02 h 55 m,5020
270,Air India,AI 660,Mumbai,18:15:00,New Delhi,20:15,02 h,4668
107,SpiceJet,SG 534,New Delhi,21:35:00,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,4915
108,SpiceJet,SG 534,New Delhi,21:35:00,Bengaluru,"00:10
+ 1 DAY",02 h 35 m,7173
109,SpiceJet,SG 8143,New Delhi,23:55:00,Bengaluru,"02:40
+ 1 DAY",02 h 45 m,5911
232,Vistara,UK 945,New Delhi,11:40:00,Mumbai,13:50,02 h 10 m,4311
233,Air India,AI 605,New Delhi,21:15:00,Mumbai,23:35,02 h 20 m,5774
139,IndiGo,6E 6247,Bengaluru,04:25:00,New Delhi,07:15,02 h 50 m,5179
140,IndiGo,6E 5021,Bengaluru,05:35:00,New Delhi,08:25,02 h 50 m,4780
141,IndiGo,6E 6621,Bengaluru,15:20:00,New Delhi,18:15,02 h 55 m,5659
142,IndiGo,6E 5039,Bengaluru,16:45:00,New Delhi,19:35,02 h 50 m,7010
143,IndiGo,6E 2174,Bengaluru,18:00:00,New Delhi,20:45,02 h 45 m,4237
144,IndiGo,6E 2174,Bengaluru,18:00:00,New Delhi,20:45,02 h 45 m,6293
145,IndiGo,6E 2174,Bengaluru,18:00:00,New Delhi,20:45,02 h 45 m,7226
146,AirAsia,I5 1532,Bengaluru,19:10:00,New Delhi,22:05,02 h 55 m,3237
147,AirAsia,I5 1532,Bengaluru,19:10:00,New Delhi,22:05,02 h 55 m,5462
148,IndiGo,6E 735,Bengaluru,19:20:00,New Delhi,22:05,02 h 45 m,4580
149,IndiGo,6E 2406,Bengaluru,20:35:00,New Delhi,23:20,02 h 45 m,4090
150,Air India,AI 511,Bengaluru,14:55:00,New Delhi,18:20,03 h 25 m,6104
151,Air India,AI 509,Bengaluru,19:35:00,New Delhi,22:35,03 h,6863
110,Akasa Air,QP 1350,New Delhi,21:00:00,Bengaluru,23:35,02 h 35 m,7141
111,Akasa Air,QP 1350,New Delhi,21:00:00,Bengaluru,23:35,02 h 35 m,3822
392,Vistara,UK 880,Hyderabad,13:15:00,New Delhi,15:35,02 h 20 m,6844
393,Vistara,UK 880,Hyderabad,13:15:00,New Delhi,15:35,02 h 20 m,4877
286,IndiGo,6E 2284,New Delhi,05:25:00,Kolkata,07:55,02 h 30 m,4512
287,Vistara,UK 747,New Delhi,06:15:00,Kolkata,08:25,02 h 10 m,4355
288,IndiGo,6E 5219,New Delhi,06:25:00,Kolkata,08:35,02 h 10 m,4805
289,IndiGo,6E 6182,New Delhi,15:55:00,Kolkata,18:10,02 h 15 m,7185
290,IndiGo,6E 2415,New Delhi,17:45:00,Kolkata,20:00,02 h 15 m,3496
291,IndiGo,6E 2415,New Delhi,17:45:00,Kolkata,20:00,02 h 15 m,3137
292,IndiGo,6E 2415,New Delhi,17:45:00,Kolkata,20:00,02 h 15 m,6273
293,IndiGo,6E 2057,New Delhi,19:00:00,Kolkata,21:05,02 h 05 m,4732
294,IndiGo,6E 2057,New Delhi,19:00:00,Kolkata,21:05,02 h 05 m,6296
295,SpiceJet,SG 8251,New Delhi,19:30:00,Kolkata,21:40,02 h 10 m,5389
296,IndiGo,6E 2517,New Delhi,20:30:00,Kolkata,22:40,02 h 10 m,6650
297,IndiGo,6E 6005,New Delhi,22:50:00,Kolkata,"01:00
+ 1 DAY",02 h 10 m,5262
298,IndiGo,6E 2603,New Delhi,23:50:00,Kolkata,"02:05
+ 1 DAY",02 h 15 m,4354
299,Vistara,UK 737,New Delhi,15:45:00,Kolkata,18:05,02 h 20 m,5266
300,Vistara,UK 737,New Delhi,15:45:00,Kolkata,18:05,02 h 20 m,4348
394,Vistara,UK 890,Hyderabad,17:40:00,New Delhi,19:55,02 h 15 m,6691
395,Air India,AI 559,Hyderabad,06:15:00,New Delhi,08:45,02 h 30 m,7850
396,Air India,AI 559,Hyderabad,06:15:00,New Delhi,08:45,02 h 30 m,6036
397,Air India,AI 523,Hyderabad,14:10:00,New Delhi,16:35,02 h 25 m,4459
398,Air India,AI 541,Hyderabad,16:25:00,New Delhi,18:50,02 h 25 m,5023
399,Air India,AI 840,Hyderabad,20:50:00,New Delhi,23:20,02 h 30 m,4475
301,Air India,AI 767,New Delhi,12:20:00,Kolkata,14:30,02 h 10 m,4666
302,Air India,AI 764,New Delhi,17:05:00,Kolkata,19:15,02 h 10 m,7868
303,Air India,AI 764,New Delhi,17:05:00,Kolkata,19:15,02 h 10 m,6929
304,Air India,AI 762,New Delhi,21:00:00,Kolkata,23:30,02 h 30 m,6109
112,Air India,AI 813,New Delhi,08:00:00,Bengaluru,10:55,02 h 55 m,5223
152,Vistara,UK 820,Bengaluru,17:50:00,New Delhi,20:35,02 h 45 m,4187
153,Vistara,UK 820,Bengaluru,17:50:00,New Delhi,20:35,02 h 45 m,3233
154,Vistara,UK 818,Bengaluru,19:40:00,New Delhi,22:20,02 h 40 m,7007
155,Vistara,UK 814,Bengaluru,21:10:00,New Delhi,23:45,02 h 35 m,3665
156,Vistara,UK 814,Bengaluru,21:10:00,New Delhi,23:45,02 h 35 m,3532
28,IndiGo,6E 5294,Mumbai,14:45:00,Bengaluru,16:40,01 h 55 m,4537
157,Akasa Air,QP 1359,Bengaluru,04:30:00,New Delhi,07:10,02 h 40 m,7789
73,IndiGo,6E 5255,Bengaluru,18:00:00,Mumbai,19:50,01 h 50 m,6196
158,SpiceJet,SG 8136,Bengaluru,02:00:00,New Delhi,04:55,02 h 55 m,3120
159,SpiceJet,SG 8136,Bengaluru,02:00:00,New Delhi,04:55,02 h 55 m,6855
160,SpiceJet,SG 8198,Bengaluru,20:10:00,New Delhi,23:20,03 h 10 m,5231
113,IndiGo,6E 2338,New Delhi,20:55:00,Bengaluru,23:40,02 h 45 m,7210
161,Air India,AI 804,Bengaluru,05:45:00,New Delhi,08:40,02 h 55 m,7609
162,Air India,AI 503,Bengaluru,17:15:00,New Delhi,20:05,02 h 50 m,6477
400,SpiceJet,SG 160,Hyderabad,06:10:00,New Delhi,08:25,02 h 15 m,3659
374,Vistara,UK 829,New Delhi,07:20:00,Hyderabad,09:30,02 h 10 m,3122
163,IndiGo,6E 122,Bengaluru,07:00:00,New Delhi,09:45,02 h 45 m,5738
164,AirAsia,I5 741,Bengaluru,11:15:00,New Delhi,14:05,02 h 50 m,7798
165,AirAsia,I5 741,Bengaluru,11:15:00,New Delhi,14:05,02 h 50 m,5721
166,IndiGo,6E 2401,Bengaluru,13:50:00,New Delhi,16:35,02 h 45 m,4525
167,IndiGo,6E 2053,Bengaluru,23:15:00,New Delhi,"02:10
+ 1 DAY",02 h 55 m,5187
234,Vistara,UK 941,New Delhi,16:55:00,Mumbai,19:05,02 h 10 m,3610
235,Vistara,UK 999,New Delhi,21:55:00,Mumbai,"00:10
+ 1 DAY",02 h 15 m,5021
168,Akasa Air,QP 1405,Bengaluru,09:15:00,New Delhi,12:05,02 h 50 m,3425
169,Vistara,UK 802,Bengaluru,18:45:00,New Delhi,21:25,02 h 40 m,4004
29,Air India,AI 641,Mumbai,18:55:00,Bengaluru,20:25,01 h 30 m,5468
305,IndiGo,6E 2788,New Delhi,02:55:00,Kolkata,05:10,02 h 15 m,3483
306,IndiGo,6E 2788,New Delhi,02:55:00,Kolkata,05:10,02 h 15 m,3335
307,IndiGo,6E 282,New Delhi,10:10:00,Kolkata,12:10,02 h,7296
308,IndiGo,6E 6557,New Delhi,13:00:00,Kolkata,15:00,02 h,5879
170,Air India,AI 501,Bengaluru,13:15:00,New Delhi,15:55,02 h 40 m,7216
171,Air India,AI 501,Bengaluru,13:15:00,New Delhi,15:55,02 h 40 m,7185
309,Vistara,UK 707,New Delhi,17:35:00,Kolkata,19:35,02 h,5291
401,Vistara,UK 830,Hyderabad,10:10:00,New Delhi,12:30,02 h 20 m,5064
402,Vistara,UK 830,Hyderabad,10:10:00,New Delhi,12:30,02 h 20 m,4537
271,Air India,AI 806,Mumbai,08:00:00,New Delhi,10:15,02 h 15 m,3431
30,Vistara,UK 865,Mumbai,18:55:00,Bengaluru,20:55,02 h,6636
310,SpiceJet,SG 8263,New Delhi,07:10:00,Kolkata,09:30,02 h 20 m,7906
172,IndiGo,6E 871,Bengaluru,10:30:00,New Delhi,13:20,02 h 50 m,3052
316,IndiGo,6E 5214,Kolkata,05:25:00,New Delhi,07:50,02 h 25 m,6361
317,IndiGo,6E 375,Kolkata,07:00:00,New Delhi,09:15,02 h 15 m,5870
318,IndiGo,6E 6183,Kolkata,18:55:00,New Delhi,21:10,02 h 15 m,4343
319,IndiGo,6E 898,Kolkata,19:35:00,New Delhi,21:55,02 h 20 m,5062
320,IndiGo,6E 2224,Kolkata,20:55:00,New Delhi,23:10,02 h 15 m,7677
321,IndiGo,6E 2224,Kolkata,20:55:00,New Delhi,23:10,02 h 15 m,5673
322,IndiGo,6E 2224,Kolkata,20:55:00,New Delhi,23:10,02 h 15 m,3968
323,IndiGo,6E 2716,Kolkata,21:45:00,New Delhi,"00:05
+ 1 DAY",02 h 20 m,3037
